"video_id","title","comment_text","author","published_at","comment_like_count","reply_count","comment_id","reply_text","parent_id","series"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,형 과거의 형으로 돌아왔구나?,@KimGentle,"2020-10-27T12:57:10Z","0",0,UgwOqctRfHuLejsR7Dx4AaABAg,"",UgwOqctRfHuLejsR7Dx4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,송도 갔었넹,@user-fc8wl6lp6h,"2020-10-27T12:57:16Z","0",0,UgyHwH8QzgzEZgX28u94AaABAg,"",UgyHwH8QzgzEZgX28u94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,오우오우 이거거든요,@Jh-rc2iz,"2020-10-27T12:57:21Z","0",0,Ugw3HvKVw6Lvk8RcIfd4AaABAg,"",Ugw3HvKVw6Lvk8RcIfd4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,SM5,@DooDoobb,"2020-10-27T12:57:24Z","0",0,UgwqUFfIqal5d6hBdE14AaABAg,"",UgwqUFfIqal5d6hBdE14AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,형님 차량 거치대 정보 좀 부탁드림다🤪,@h2ee848,"2020-10-27T12:57:26Z","0",0,UgwDTnnocCLyNvi9M0J4AaABAg,"",UgwDTnnocCLyNvi9M0J4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,혼자만 산거야??  혼자만?,@user-kg1sh4xz5n,"2020-10-27T12:57:26Z","0",0,UgyrCZpn4RfwosQJ87J4AaABAg,"",UgyrCZpn4RfwosQJ87J4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,인제 좀 저 컨셉 지겹네요.,@eon4762,"2020-10-27T12:57:29Z","0",0,Ugw1JKoXR69ufg0xzI94AaABAg,"",Ugw1JKoXR69ufg0xzI94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,자꾸 이츠 이츠 와우 와우 거리는거 뭐에요? ㅋㅋㅋ,@AJPark-xw7zr,"2020-10-27T12:57:31Z","1",0,Ugy_H_-wnOLWg0VncV94AaABAg,"",Ugy_H_-wnOLWg0VncV94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,딸기라고??,@hy20120,"2020-10-27T12:57:31Z","1",0,Ugx3SPN9paWmcyDvvth4AaABAg,"",Ugx3SPN9paWmcyDvvth4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"5:20 5:20 5:20 5:20 하이라이트",@anthony_kim_k,"2020-10-27T12:57:33Z","1",0,Ugzbi5pT35S9hfnfDx94AaABAg,"",Ugzbi5pT35S9hfnfDx94AaABAg,"12"
